x,y,pmi,count
benedick,beatrice,2.308408754908978,7
beatrice,benedick,2.308408754908978,7
margaret,ursula,2.3075377799400036,6
ursula,margaret,2.3075377799400036,6
de,la,2.306876249755883,14
la,de,2.306876249755883,14
seven,six,2.305688028817947,8
six,seven,2.305688028817947,8
agamemnon,menelaus,2.3048976837737953,6
menelaus,agamemnon,2.3048976837737953,6
music,plays,2.303911770792144,12
plays,music,2.303911770792144,12
brains,knock,2.3009673901453627,6
knock,brains,2.3009673901453627,6
officer,arrest,2.3000293887398984,5
arrest,officer,2.3000293887398984,5
leontes,sicilia,2.299293806255797,7
sicilia,leontes,2.299293806255797,7
grey,rivers,2.299145354884704,9
rivers,grey,2.299145354884704,9
unarm,hector,2.297848565381616,5
hector,unarm,2.297848565381616,5
rousillon,palace,2.2970723462618388,8
palace,rousillon,2.2970723462618388,8
edmund,mortimer,2.2970723462618388,8
mortimer,edmund,2.2970723462618388,8
heir,apparent,2.29583327414629,5
apparent,heir,2.29583327414629,5
white,snow,2.29583327414629,10
snow,white,2.29583327414629,10
realm,protector,2.29567863840248,5
protector,realm,2.29567863840248,5
bassianus,lavinia,2.295137846484639,6
lavinia,bassianus,2.295137846484639,6
francis,poins,2.294366452885914,8
poins,francis,2.294366452885914,8
messengers,attendants,2.2930198022506416,8
attendants,messengers,2.2930198022506416,8
hark,shout,2.2916773143751326,5
shout,hark,2.2916773143751326,5
window,chamber,2.290773041082189,11
chamber,window,2.290773041082189,11
silence,singing,2.290657244659185,6
singing,silence,2.290657244659185,6
afar,off,2.2862594769796214,17
off,afar,2.2862594769796214,17
wind,hey,2.284586634713779,6
hey,wind,2.284586634713779,6
thisby,quince,2.279591818509025,5
quince,thisby,2.279591818509025,5
cleopatra,alexandria,2.279343579301407,12
alexandria,cleopatra,2.279343579301407,12
rope,dromio,2.27884752615564,6
dromio,rope,2.27884752615564,6
lartius,titus,2.2786616522037746,16
titus,lartius,2.2786616522037746,16
saturninus,bassianus,2.2781045071858586,5
bassianus,saturninus,2.2781045071858586,5
corporal,bardolph,2.2760941259235907,7
bardolph,corporal,2.2760941259235907,7
balthasar,pedro,2.2751450784809375,5
pedro,balthasar,2.2751450784809375,5
under,canopy,2.2744083616258948,5
canopy,under,2.2744083616258948,5
don,claudio,2.2737778831964097,14
claudio,don,2.2737778831964097,14
messengers,officers,2.273232207943184,5
officers,messengers,2.273232207943184,5
room,castle,2.2729386665451194,13
castle,room,2.2729386665451194,13
tear,pieces,2.2723521782967673,5
pieces,tear,2.2723521782967673,5
ear,box,2.2714739282868455,8
